URL,Industry,Country,State,WORDS,CAPABILITY,LEGAL,BUSINESS_FOCUS,UTILIZATION,INNOVATION,SECURITY,EDUCATION,TECHNOLOGY
https://iloveimg.com,COMPUTERS AND ELECTRONICS,US,AZ,3,2,72,27,106,10,12,20,10
https://freepdfconvert.com,COMPUTERS AND ELECTRONICS,US,AZ,23,5,14,2,3,1,5,1,0
https://fotor.com,COMPUTERS AND ELECTRONICS,US,AZ,111,26,26,13,19,25,3,14,12
https://bluestacks.com,COMPUTERS AND ELECTRONICS,US,AZ,998,270,274,170,200,48,106,170,54
https://techtarget.com,COMPUTERS AND ELECTRONICS,US,MA,353,74,85,69,169,29,111,69,17
https://cnet.com,COMPUTERS AND ELECTRONICS,US,NY,109,50,44,17,60,17,23,33,8
https://stackoverflow.com,COMPUTERS AND ELECTRONICS,US,NY,459,89,78,90,96,19,54,59,11
https://pcmag.com,COMPUTERS AND ELECTRONICS,US,NY,24,9,2,3,0,4,7,13,0
https://ibm.com,COMPUTERS AND ELECTRONICS,US,NY,21,5,2,9,8,43,20,19,4
https://loveandlemons.com,FOOD AND DRINK,US,AZ,18,3,4,10,4,3,0,4,1
https://sallysbakingaddiction.com,FOOD AND DRINK,US,AZ,143,38,34,35,27,11,13,9,18
https://thekitchn.com,FOOD AND DRINK,US,AZ,6,2,0,0,0,0,0,0,2
https://tastesbetterfromscratch.com,FOOD AND DRINK,US,AZ,109,16,15,16,8,7,9,7,15
https://swiggy.com,FOOD AND DRINK,US,AZ,3,0,0,0,0,1,0,0,0
https://natashaskitchen.com,FOOD AND DRINK,US,AZ,74,15,21,17,12,2,6,16,3
https://downshiftology.com,FOOD AND DRINK,US,AZ,94,25,18,11,18,5,2,11,15
https://rentcafe.com,REAL ESTATE,US,ID,23,8,2,4,1,2,3,8,11
https://apartments.com,REAL ESTATE,US,DC,264,59,48,45,27,22,23,18,4
https://homes.com,REAL ESTATE,US,DC,370,84,81,55,34,24,27,25,4
https://realtor.com,REAL ESTATE,US,FL,46,8,7,7,6,0,2,16,1
https://redfin.com,REAL ESTATE,US,AZ,32,9,9,9,1,3,2,7,5
https://aplaceformom.com,REAL ESTATE,US,AZ,178,42,41,25,13,9,13,10,5
https://valuecom.com,REAL ESTATE,US,AZ,14,3,5,3,2,0,4,4,3
https://housing.com,REAL ESTATE,US,CO,21,2,6,0,0,10,1,7,0
https://remax.com,REAL ESTATE,US,CO,173,41,46,27,16,8,20,22,11
https://rent.com,REAL ESTATE,US,GA,227,71,57,42,24,6,17,15,7
